A3CZYX
19
(1P3E16.7)
Station position
107.144501  32.606098  0.844000

velocity
gain U>E>N
1258.653198   1258.653198    1258.653198
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  6.7784313E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= LD6
  7.3000000E+001  5.9400000E+002  2.2000000E+002
 -9.6000000E+001 -8.6000000E+001 -7.3000000E+001
 -8.0000000E+000 -1.1100000E+002 -2.3600000E+002
  1.9600000E+002 -4.5600000E+002  1.6500000E+002
  3.9000000E+001 -3.2000000E+001  7.0000000E+001
 -1.5600000E+002  4.1700000E+002  7.4000000E+001
 -2.7000000E+001 -6.8000000E+001 -9.3000000E+001
  1.2400000E+002 -3.1600000E+002 -1.7100000E+002
 -1.8000000E+001 -2.4000000E+001  4.3900000E+002
 -1.2100000E+002  1.6400000E+002  7.9000000E+001
  5.3000000E+001  1.1000000E+001 -3.8100000E+002
  1.4500000E+002 -2.7000000E+001 -2.5000000E+001
  1.0200000E+002 -2.7800000E+002  2.0300000E+002
 -1.3600000E+002  5.9000000E+001  1.3700000E+002
 -1.3600000E+002  2.1100000E+002 -4.9000000E+001
  8.5000000E+001 -1.5400000E+002 -5.7000000E+001
  6.6000000E+001 -9.9000000E+001  8.7000000E+001
  7.0000000E+001 -5.6000000E+001  1.4900000E+002
 -1.9000000E+001  2.5200000E+002 -1.1200000E+002
 -1.0100000E+002 -5.4000000E+001 -1.1300000E+002
  9.8000000E+001 -1.6400000E+002  4.0000000E+000
  1.3000000E+002  5.8000000E+001  4.2000000E+001
 -1.4700000E+002 -5.3000000E+001  1.5900000E+002
 -1.2300000E+002  8.5000000E+001 -9.2000000E+001
  1.1300000E+002 -2.4900000E+002 -1.8200000E+002
  1.4300000E+002 -3.2000000E+001  7.2000000E+001
 -6.0000000E+001  1.8200000E+002  2.8100000E+002
 -1.3900000E+002 -7.4000000E+001 -1.5000000E+001
  1.4000000E+001  1.6200000E+002 -2.8300000E+002
  1.2100000E+002 -7.0000000E+001  5.0000000E+001
  5.4000000E+001 -4.9000000E+001  1.4300000E+002
 -1.9700000E+002  1.5500000E+002  7.9000000E+001
  5.8000000E+001 -1.9900000E+002 -2.0000000E+001
  1.6700000E+002 -1.1800000E+002 -1.3900000E+002
 -6.6000000E+001  1.1100000E+002  4.1000000E+001
  9.0000000E+001  1.3400000E+002 -1.7000000E+001
 -7.0000000E+001 -1.0000000E+000 -1.3500000E+002
 -2.4000000E+001 -2.2000000E+002  9.5000000E+001
  2.1400000E+002 -2.1300000E+002  1.5700000E+002
  4.5000000E+001  0.0000000E+000 -1.3700000E+002
 -4.8000000E+001  2.4600000E+002 -3.4200000E+002
 -1.2500000E+002  1.0100000E+002 -3.0000000E+000
  5.0000000E+000 -1.1500000E+002  3.8900000E+002
  7.4000000E+001 -9.6000000E+001  2.0000000E+002
  3.8000000E+001  2.9000000E+001 -2.5000000E+002
  4.7000000E+001  1.3600000E+002 -3.3800000E+002
 -7.4000000E+001 -7.8000000E+001  5.7000000E+001
  9.8000000E+001 -2.2100000E+002  2.8000000E+002
  1.6000000E+001  1.8000000E+001 -2.1000000E+001
 -6.6000000E+001  1.8500000E+002 -3.8600000E+002
  9.3000000E+001  1.1300000E+002 -1.0900000E+002
 -1.5000000E+001 -1.0000000E+000  4.2000000E+002
 -2.0000000E+000 -1.3300000E+002  2.4000000E+002
 -4.0000000E+000 -1.7000000E+001 -3.9000000E+002
  4.9000000E+001  1.6700000E+002 -3.7300000E+002
  3.5000000E+001 -6.2000000E+001  3.7500000E+002
 -9.7000000E+001 -7.6000000E+001  2.3000000E+002
  7.5000000E+001 -1.6000000E+001 -3.8900000E+002
  1.1600000E+002  1.3000000E+001 -2.7000000E+002
 -5.8000000E+001  3.3300000E+002  9.0000000E+000
 -4.7000000E+001 -8.4000000E+001  3.5700000E+002
 -2.6000000E+001 -2.4500000E+002  1.2800000E+002
  5.5000000E+001  1.6400000E+002 -4.7800000E+002
  1.3100000E+002  3.0000000E+000 -3.0900000E+002
 -8.0000000E+000 -1.8000000E+001  2.4700000E+002
 -1.5000000E+002 -7.4000000E+001  3.1400000E+002
 -1.8000000E+001  1.4900000E+002 -1.9100000E+002
  2.1000000E+002  3.4300000E+002 -2.1700000E+002
 -7.3000000E+001 -3.5900000E+002  5.3000000E+001
  1.0000000E+000 -3.7200000E+002  5.2000000E+001
  2.0200000E+002  2.7700000E+002 -3.6000000E+001
 -9.5000000E+001  3.0000000E+002 -2.7700000E+002
 -1.1900000E+002  4.2000000E+001  7.2000000E+001
 -7.0000000E+000 -3.1400000E+002  3.8300000E+002
  1.3800000E+002 -9.9000000E+001 -8.9000000E+001
  1.7000000E+001  4.9600000E+002 -3.7200000E+002
 -5.0000000E+000  1.3300000E+002 -1.7500000E+002
 -5.1000000E+001 -3.1500000E+002  1.9500000E+002
 -1.0700000E+002 -1.1200000E+002  2.2100000E+002
  3.0200000E+002  3.5500000E+002 -2.2500000E+002
 -4.0000000E+000  2.8200000E+002 -4.0100000E+002
 -2.6700000E+002 -2.3200000E+002  3.1000000E+001
  1.1400000E+002 -3.1200000E+002  3.0200000E+002
  1.0400000E+002 -5.3000000E+001  3.9000000E+001
  9.9000000E+001  4.1700000E+002 -3.3600000E+002
  7.0000000E+000  1.7900000E+002 -2.0300000E+002
 -1.8900000E+002 -3.8700000E+002  1.8100000E+002
 -9.0000000E+000 -1.2000000E+002  1.3000000E+002
  7.4000000E+001  2.6700000E+002 -2.7000000E+001
  2.1000000E+001  2.9000000E+002 -1.9800000E+002
 -6.3000000E+001 -1.6400000E+002 -2.4000000E+001
  7.0000000E+000 -3.8200000E+002  2.0200000E+002
  7.5000000E+001  2.8400000E+002 -9.1000000E+001
 -1.4000000E+001  4.4000000E+002 -2.2600000E+002
  4.4000000E+001 -1.4400000E+002 -2.0500000E+002
 -4.0000000E+001 -3.5000000E+002 -9.0000000E+000
  2.1000000E+001 -1.9400000E+002  2.1100000E+002
  1.0500000E+002  2.2700000E+002 -5.0000000E+001
 -3.4000000E+001  3.3700000E+002 -2.6600000E+002
  2.4000000E+001 -2.0100000E+002 -4.4000000E+001
  4.0000000E+001 -1.9600000E+002  1.1800000E+002
 -5.9000000E+001  2.3100000E+002  7.7000000E+001
 -3.0000000E+001  1.4200000E+002  3.0000000E+001
  1.2900000E+002 -1.1800000E+002 -1.5500000E+002
  7.1000000E+001 -1.8700000E+002 -1.9400000E+002
 -4.9000000E+001  2.0000000E+000  6.6000000E+001
  7.5000000E+001  2.3100000E+002  5.3000000E+001
 -1.5000000E+001  1.3700000E+002 -3.0300000E+002
 -6.0000000E+001 -4.3000000E+001 -1.7700000E+002
  1.0000000E+002 -1.9100000E+002  2.9800000E+002
  1.0000000E+000 -2.3800000E+002  8.1000000E+001
 -7.1000000E+001  1.5200000E+002 -3.8800000E+002
  1.0000000E+002  3.4100000E+002 -2.3100000E+002
  4.8000000E+001 -1.5000000E+001  2.5500000E+002
 -1.4600000E+002 -2.7300000E+002  2.3700000E+002
 -2.0000000E+001 -4.3000000E+001 -2.5700000E+002
  1.2600000E+002  1.2600000E+002 -3.1200000E+002
  7.9000000E+001 -6.9000000E+001 -1.0200000E+002
 -2.5000000E+001  1.0700000E+002  1.0300000E+002
 -1.1000000E+001 -7.1000000E+001  1.5200000E+002
 -6.4000000E+001 -2.2600000E+002 -2.1500000E+002
 -4.7000000E+001  2.5700000E+002 -1.1300000E+002
  1.6100000E+002  9.9000000E+001  3.0000000E+000
 -2.2000000E+001 -7.2000000E+001 -1.7700000E+002
 -9.2000000E+001 -1.9000000E+001  4.9000000E+001
  1.1200000E+002 -9.1000000E+001 -8.4000000E+001
  4.4000000E+001  2.3000000E+001 -1.0500000E+002
 -2.8000000E+001  1.6900000E+002  6.2000000E+001
  5.2000000E+001  1.4000000E+001 -1.6000000E+002
 -3.4000000E+001 -1.4700000E+002 -1.2300000E+002
